run,seed,sample_index,dataset_accuracy,start_accuracy,flow_accuracy,random_accuracy,flow_improvement,random_improvement,flow_advantage,flow_success,random_success,flow_better,tie,flow_direction_norm,random_direction_norm,start_arch,flow_arch,random_arch
1,42,769,0.8918333649635315,0.8918333333333333,0.8980333333333332,0.8918333333333333,0.006199999999999983,0.0,0.006199999999999983,True,False,True,False,12.844015121459961,12.844015121459961,|nor_conv_1x1~0|+|skip_connect~0|none~1|+|nor_conv_1x1~0|none~1|none~2|,|nor_conv_1x1~0|+|skip_connect~0|skip_connect~1|+|nor_conv_1x1~0|none~1|skip_connect~2|,|nor_conv_1x1~0|+|skip_connect~0|none~1|+|nor_conv_1x1~0|none~1|none~2|
1,42,770,0.9202333092689514,0.9202333333333332,0.9334666666666664,0.9202333333333332,0.013233333333333208,0.0,0.013233333333333208,True,False,True,False,11.682125091552734,11.682125091552734,|skip_connect~0|+|nor_conv_1x1~0|nor_conv_1x1~1|+|nor_conv_3x3~0|avg_pool_3x3~1|nor_conv_3x3~2|,|nor_conv_3x3~0|+|nor_conv_1x1~0|nor_conv_3x3~1|+|nor_conv_3x3~0|avg_pool_3x3~1|nor_conv_3x3~2|,|skip_connect~0|+|nor_conv_1x1~0|nor_conv_1x1~1|+|nor_conv_3x3~0|avg_pool_3x3~1|nor_conv_3x3~2|
1,42,771,0.8740667104721069,0.8740666666666668,0.6858666666666666,0.8740666666666668,-0.18820000000000014,0.0,-0.18820000000000014,False,False,False,False,11.873329162597656,11.873329162597656,|skip_connect~0|+|none~0|nor_conv_1x1~1|+|skip_connect~0|skip_connect~1|skip_connect~2|,|skip_connect~0|+|none~0|avg_pool_3x3~1|+|skip_connect~0|skip_connect~1|skip_connect~2|,|skip_connect~0|+|none~0|nor_conv_1x1~1|+|skip_connect~0|skip_connect~1|skip_connect~2|
1,42,772,0.8082000017166138,0.8082,0.6962,0.83685,-0.11199999999999999,0.028649999999999953,-0.14064999999999994,False,True,False,False,15.489631652832031,15.489632606506348,|avg_pool_3x3~0|+|avg_pool_3x3~0|nor_conv_1x1~1|+|none~0|nor_conv_1x1~1|avg_pool_3x3~2|,|avg_pool_3x3~0|+|avg_pool_3x3~0|nor_conv_1x1~1|+|avg_pool_3x3~0|avg_pool_3x3~1|none~2|,|avg_pool_3x3~0|+|avg_pool_3x3~0|nor_conv_1x1~1|+|none~0|nor_conv_3x3~1|avg_pool_3x3~2|
1,42,773,0.7930000424385071,0.7929999999999999,0.8717333333333334,0.7772333333333334,0.07873333333333343,-0.015766666666666485,0.09449999999999992,True,False,True,False,13.664593696594238,13.664593696594238,|skip_connect~0|+|skip_connect~0|skip_connect~1|+|nor_conv_1x1~0|skip_connect~1|avg_pool_3x3~2|,|skip_connect~0|+|skip_connect~0|nor_conv_3x3~1|+|nor_conv_1x1~0|skip_connect~1|avg_pool_3x3~2|,|avg_pool_3x3~0|+|avg_pool_3x3~0|skip_connect~1|+|nor_conv_1x1~0|skip_connect~1|avg_pool_3x3~2|
1,42,774,0.9329000115394592,0.9329,0.9305,0.9329,-0.0023999999999999577,0.0,-0.0023999999999999577,False,False,False,False,14.472456932067871,14.472456932067871,|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|nor_conv_3x3~0|nor_conv_3x3~1|none~2|,|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|nor_conv_3x3~0|nor_conv_3x3~1|skip_connect~2|,|nor_conv_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|nor_conv_3x3~0|nor_conv_3x3~1|none~2|
1,42,775,0.9133333563804626,0.9133333333333333,0.9301666666666667,0.9301666666666667,0.016833333333333367,0.016833333333333367,0.0,True,True,False,True,12.227327346801758,12.227327346801758,|skip_connect~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|nor_conv_3x3~0|nor_conv_1x1~1|skip_connect~2|,|skip_connect~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|nor_conv_3x3~0|nor_conv_1x1~1|nor_conv_3x3~2|,|skip_connect~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|nor_conv_3x3~0|nor_conv_1x1~1|nor_conv_3x3~2|
1,42,776,0.911549985408783,0.91155,0.92235,0.91155,0.010800000000000032,0.0,0.010800000000000032,True,False,True,False,10.358866691589355,10.358865737915039,|nor_conv_3x3~0|+|none~0|skip_connect~1|+|avg_pool_3x3~0|skip_connect~1|skip_connect~2|,|nor_conv_3x3~0|+|none~0|nor_conv_3x3~1|+|avg_pool_3x3~0|skip_connect~1|skip_connect~2|,|nor_conv_3x3~0|+|none~0|skip_connect~1|+|avg_pool_3x3~0|skip_connect~1|skip_connect~2|
1,42,777,0.10000000149011612,0.1,0.1,0.1,0.0,0.0,0.0,False,False,False,True,14.205459594726562,14.205460548400879,|none~0|+|nor_conv_3x3~0|skip_connect~1|+|none~0|skip_connect~1|none~2|,|none~0|+|nor_conv_3x3~0|skip_connect~1|+|none~0|none~1|none~2|,|none~0|+|nor_conv_3x3~0|skip_connect~1|+|none~0|skip_connect~1|none~2|
1,42,778,0.7954666614532471,0.7954666666666667,0.9105666666666665,0.8737666666666667,0.11509999999999987,0.07830000000000004,0.03679999999999983,True,True,True,False,15.904034614562988,15.904034614562988,|skip_connect~0|+|skip_connect~0|skip_connect~1|+|nor_conv_3x3~0|avg_pool_3x3~1|avg_pool_3x3~2|,|skip_connect~0|+|skip_connect~0|nor_conv_3x3~1|+|nor_conv_3x3~0|avg_pool_3x3~1|none~2|,|skip_connect~0|+|nor_conv_1x1~0|skip_connect~1|+|nor_conv_3x3~0|avg_pool_3x3~1|avg_pool_3x3~2|
1,42,779,0.8733999729156494,0.8733999999999998,0.89845,0.8733999999999998,0.025050000000000128,0.0,0.025050000000000128,True,False,True,False,11.799203872680664,11.799203872680664,|nor_conv_3x3~0|+|avg_pool_3x3~0|skip_connect~1|+|skip_connect~0|skip_connect~1|avg_pool_3x3~2|,|nor_conv_3x3~0|+|avg_pool_3x3~0|nor_conv_3x3~1|+|skip_connect~0|skip_connect~1|avg_pool_3x3~2|,|nor_conv_3x3~0|+|avg_pool_3x3~0|skip_connect~1|+|skip_connect~0|skip_connect~1|avg_pool_3x3~2|
1,42,780,0.8760333061218262,0.8760333333333334,0.9238,0.8760333333333334,0.04776666666666651,0.0,0.04776666666666651,True,False,True,False,11.448922157287598,11.448921203613281,|skip_connect~0|+|nor_conv_1x1~0|skip_connect~1|+|skip_connect~0|none~1|skip_connect~2|,|skip_connect~0|+|nor_conv_1x1~0|skip_connect~1|+|skip_connect~0|none~1|nor_conv_3x3~2|,|skip_connect~0|+|nor_conv_1x1~0|skip_connect~1|+|skip_connect~0|none~1|skip_connect~2|
1,42,781,0.8873999714851379,0.8874000000000001,0.8856999999999999,0.8874000000000001,-0.0017000000000001458,0.0,-0.0017000000000001458,False,False,False,False,12.11368465423584,12.11368465423584,|none~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|avg_pool_3x3~0|skip_connect~1|avg_pool_3x3~2|,|none~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|avg_pool_3x3~0|none~1|avg_pool_3x3~2|,|none~0|+|nor_conv_3x3~0|nor_conv_1x1~1|+|avg_pool_3x3~0|skip_connect~1|avg_pool_3x3~2|
1,42,782,0.82464998960495,0.82465,0.9114500000000001,0.82465,0.0868000000000001,0.0,0.0868000000000001,True,False,True,False,15.153109550476074,15.15311050415039,|avg_pool_3x3~0|+|avg_pool_3x3~0|avg_pool_3x3~1|+|none~0|nor_conv_3x3~1|skip_connect~2|,|avg_pool_3x3~0|+|nor_conv_3x3~0|avg_pool_3x3~1|+|avg_pool_3x3~0|nor_conv_3x3~1|nor_conv_3x3~2|,|avg_pool_3x3~0|+|avg_pool_3x3~0|avg_pool_3x3~1|+|none~0|nor_conv_3x3~1|skip_connect~2|
1,42,783,0.9269000291824341,0.9269,0.9284,0.9282499999999999,0.0015000000000000568,0.0013499999999999623,0.0001500000000000945,True,True,True,False,16.423124313354492,16.423124313354492,|avg_pool_3x3~0|+|nor_conv_1x1~0|none~1|+|nor_conv_3x3~0|none~1|nor_conv_3x3~2|,|none~0|+|nor_conv_1x1~0|skip_connect~1|+|nor_conv_3x3~0|none~1|nor_conv_3x3~2|,|none~0|+|nor_conv_1x1~0|none~1|+|nor_conv_3x3~0|none~1|nor_conv_3x3~2|
