metric,mean,std_across_runs,sem_across_runs,min,max
mean_start_accuracy,0.8733924319999999,0.0,0.0,0.8733924319999999,0.8733924319999999
mean_flow_accuracy,0.8727682880000001,0.0,0.0,0.8727682880000001,0.8727682880000001
mean_random_accuracy,0.8700596693333335,0.0,0.0,0.8700596693333335,0.8700596693333335
mean_flow_improvement,-0.0006241440000000026,0.0,0.0,-0.0006241440000000026,-0.0006241440000000026
mean_random_improvement,-0.003332762666666668,0.0,0.0,-0.003332762666666668,-0.003332762666666668
mean_flow_advantage,0.0027086186666666653,0.0,0.0,0.0027086186666666653,0.0027086186666666653
flow_success_rate,0.37632,0.0,0.0,0.37632,0.37632
random_success_rate,0.17408,0.0,0.0,0.17408,0.17408
flow_better_rate,0.41536,0.0,0.0,0.41536,0.41536
tie_rate,0.25728,0.0,0.0,0.25728,0.25728
mean_flow_direction_norm,12.388553164520264,0.0,0.0,12.388553164520264,12.388553164520264
mean_random_direction_norm,12.388553164520264,0.0,0.0,12.388553164520264,12.388553164520264
