run,seed,n_samples,mean_start_accuracy,mean_flow_accuracy,mean_random_accuracy,mean_flow_improvement,mean_random_improvement,mean_flow_advantage,flow_success_rate,random_success_rate,flow_better_rate,tie_rate,mean_flow_direction_norm,mean_random_direction_norm
1,42,3125,0.8733924319999999,0.9162896160000001,0.8664684640000001,0.042897184000000005,-0.006923968,0.049821152,0.76032,0.41536,0.76416,0.01088,27.88933399520874,27.889333972167968
2,43,3125,0.8733924319999999,0.8896144746666667,0.8715059253333333,0.016222042666666665,-0.0018865066666666672,0.01810854933333333,0.60352,0.47136,0.58912,0.00416,31.760319815063475,31.760319780273438
3,44,3125,0.8733924319999999,0.9025092586666665,0.87337824,0.029116826666666665,-1.4192000000000746e-05,0.029131018666666668,0.65408,0.43776,0.64352,0.00896,26.25925370574951,26.259253692321778
4,45,3125,0.8733924319999999,0.8970910933333334,0.8610006880000001,0.023698661333333343,-0.012391744000000001,0.036090405333333346,0.71104,0.43072,0.704,0.01408,29.44586893722534,29.44586891647339
5,46,3125,0.8733924319999999,0.908429216,0.8705245066666666,0.035036783999999994,-0.002867925333333333,0.037904709333333335,0.7312,0.45696,0.70688,0.00928,26.386829189453124,26.386829188232422
6,47,3125,0.8733924319999999,0.9060796426666667,0.8660563146666668,0.03268721066666667,-0.007336117333333333,0.040023328000000004,0.65536,0.4336,0.65568,0.01792,34.24295477600098,34.242954757995605
7,48,3125,0.8733924319999999,0.8979878720000001,0.8679281813333332,0.02459544,-0.005464250666666669,0.030059690666666666,0.65344,0.43936,0.66656,0.00736,26.79721383026123,26.797213837127686
8,49,3125,0.8733924319999999,0.9074299733333333,0.8759401493333332,0.03403754133333333,0.0025477173333333315,0.03148982400000001,0.70272,0.33408,0.69216,0.08672,17.29400855163574,17.29400854698181
9,50,3125,0.8733924319999999,0.8677123253333333,0.8700828053333334,-0.0056801066666666705,-0.003309626666666665,-0.0023704800000000055,0.52032,0.45632,0.51712,0.01376,27.230820841064453,27.230820833587646
10,51,3125,0.8733924319999999,0.9134725493333333,0.8549830773333333,0.04008011733333333,-0.01840935466666667,0.058489471999999994,0.75328,0.41824,0.76128,0.00896,30.27242253540039,30.272422517700196
11,52,3125,0.8733924319999999,0.9219265813333333,0.863832512,0.04853414933333333,-0.009559919999999994,0.05809406933333334,0.8368,0.43424,0.82976,0.00544,44.4949270791626,44.49492708114624
12,53,3125,0.8733924319999999,0.9098609919999999,0.8709439946666667,0.036468560000000004,-0.0024484373333333335,0.038916997333333335,0.68992,0.43968,0.68096,0.01088,23.287767557373048,23.2877675692749
13,54,3125,0.8733924319999999,0.9100513386666667,0.8724651253333333,0.036658906666666664,-0.0009273066666666675,0.03758621333333333,0.7888,0.42816,0.76736,0.01216,27.458940834655763,27.45894081817627
14,55,3125,0.8733924319999999,0.8946450719999999,0.870901568,0.02125264,-0.002490864000000002,0.023743504000000002,0.6608,0.41632,0.66048,0.00736,27.48046237213135,27.48046234741211
15,56,3125,0.8733924319999999,0.913873856,0.8728841653333334,0.040481423999999995,-0.000508266666666668,0.04098969066666667,0.74112,0.44992,0.74624,0.00352,30.32039889465332,30.320398895263672
16,57,3125,0.8733924319999999,0.9085519146666667,0.8673148533333335,0.03515948266666667,-0.006077578666666667,0.04123706133333334,0.72704,0.40096,0.7264,0.01312,24.521342751464843,24.52134272064209
17,58,3125,0.8733924319999999,0.902341664,0.8651625866666668,0.028949232000000002,-0.008229845333333331,0.03717907733333334,0.70848,0.42112,0.70016,0.00832,31.517304519958497,31.51730451965332
18,59,3125,0.8733924319999999,0.886206864,0.8683765066666667,0.012814432000000002,-0.0050159253333333315,0.017830357333333335,0.55936,0.4128,0.60288,0.00832,32.9205092604065,32.920509232940674
19,60,3125,0.8733929813333333,0.9037813066666667,0.876591552,0.030388325333333324,0.003198570666666667,0.02718975466666666,0.64096,0.4144,0.66144,0.0112,24.52072347869873,24.520723482971192
20,61,3125,0.8734001226666667,0.901465504,0.8670427146666666,0.028065381333333334,-0.006357408,0.034422789333333335,0.64288,0.4016,0.65312,0.00672,29.43100439971924,29.43100439971924
