metric,mean,std_across_runs,sem_across_runs,min,max
mean_start_accuracy,0.6166913645644024,4.211798039831198e-06,9.417866724562925e-07,0.6166903250977426,0.6167091624310759
mean_flow_accuracy,0.6593586754656322,0.016284192098834534,0.003641256049165899,0.6334078717326623,0.6822787730313875
mean_random_accuracy,0.6114269368305549,0.004521198837924256,0.0010109707941391688,0.6029385170986312,0.6197453010942139
mean_flow_improvement,0.042667310901229896,0.01628565730819584,0.0036415836799392138,0.016717546634919835,0.06558844793364502
mean_random_improvement,-0.005264427733847615,0.004520879914092198,0.0010108994806023563,-0.013751807999111324,0.0030549759964713552
mean_flow_advantage,0.04793173863507751,0.016114511093107117,0.0036033142228361955,0.01708328530638468,0.07113165858760985
flow_success_rate,0.7047199999999999,0.08408525798572727,0.01880203527616932,0.57216,0.8288
random_success_rate,0.4378080000000001,0.018540323508220494,0.00414574236892184,0.4016,0.48288
flow_better_rate,0.7046240000000001,0.07618225061964029,0.017034869106444115,0.57984,0.82208
tie_rate,0.008512,0.004260992718530322,0.0009527869370265427,0.00224,0.01696
mean_flow_direction_norm,32.27161760800552,5.105228656024476,1.1415638315550618,23.869042476272583,42.66987072341919
mean_random_direction_norm,32.27161759043884,5.105228656473758,1.1415638316555246,23.86904245285034,42.66987070907593
